Brand,Branch,Roometype,Roomame,Nbers of Unitys,Area_avg,Area_min,Area_max,Rent25_avg,Rent25_min,Rent25_max,Waiting_time
Svenska Bost_der,SB Campus S_dermalm,Studio,1 Rum Lundagatan 59,,31,31,,5469,5469,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum 1117,,24,24,,6461,6461,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum 1215,,24,24,,6400,6400,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,1Bedroom,1.5 Rum 800,,40,40,,9464,9464,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum 1177,,24,24,,6187,6187,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,1Bedroom,2 Rum 1312,,42,42,,10294,10294,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 49,,23.5,23,24,6035.5,5610,6461,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 49 652,,23,23,,5883,5883,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 51 644,,24,24,,6066,6066,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 49 777 ,,24,24,,5676,5676,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 51 621,,24,24,,5916,5916,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 1001,,24,24,,5432,5432,,
